Date,Name,Amount,Analysis_Status,Exclusion_Reason,Category,Source,Type,Status
11/10/2025,REB NYC,-60.0,Included (True Spend),,Financial Services,Personal,Mobile Payment,Completed
11/10/2025,TARGET T-1849,-73.88,Included (True Spend),,Grocery/Daily,Business/Main,General PayPal Debit Card Transaction,Completed
11/10/2025,REB NYC,-100.0,Included (True Spend),,Financial Services,Personal,Mobile Payment,Completed
11/10/2025,HP *ALL- IN PLAN,-13.68,Included (True Spend),,Other/Uncategorized,Business/Main,General PayPal Debit Card Transaction,Completed
11/10/2025,CASH APP*AIZIHAER TUER,-100.0,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,General Authorization,Pending
11/10/2025,PayPal,-164.7,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,Account Hold for Open Authorization,Pending
11/10/2025,Nike US Stores,-164.7,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,General Authorization,Pending
11/10/2025,REB NYC,-180.0,Included (True Spend),,Financial Services,Personal,Mobile Payment,Completed
11/10/2025,REB NYC,-200.0,Included (True Spend),,Financial Services,Personal,Mobile Payment,Completed
11/10/2025,HP *ALL- IN PLAN,-13.68,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,General Authorization,Pending
11/10/2025,CASH APP*AIZIHAER TUER,-100.0,Included (True Spend),,TRANSFER_TO_REVIEW,Business/Main,General PayPal Debit Card Transaction,Completed
11/10/2025,PayPal,-13.68,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,Account Hold for Open Authorization,Pending
11/10/2025,PayPal,20.58,Excluded,Money In / Refund,Excluded,Business/Main,Reversal of General Account Hold,Completed
11/10/2025,PayPal,-7.0,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,Account Hold for Open Authorization,Pending
11/10/2025,,200.0,Excluded,Money In / Refund,Excluded,Personal,General Card Deposit,Completed
11/10/2025,Aizihaer Tuerxuntuoheti,194.02,Excluded,Money In / Refund,Excluded,Business/Main,Mobile Payment,Completed
11/10/2025,,190.0,Excluded,Non-Finalized (Status: Denied),Excluded,Personal,General Card Deposit,Denied
11/10/2025,Aizihaer Tuerxuntuoheti,174.62,Excluded,Money In / Refund,Excluded,Business/Main,Mobile Payment,Completed
11/10/2025,,100.0,Excluded,Money In / Refund,Excluded,Personal,General Card Deposit,Completed
11/10/2025,PayPal,100.0,Excluded,Money In / Refund,Excluded,Business/Main,Reversal of General Account Hold,Completed
11/10/2025,Aizihaer Tuerxuntuoheti,97.01,Excluded,Money In / Refund,Excluded,Business/Main,Mobile Payment,Completed
11/10/2025,,60.0,Excluded,Money In / Refund,Excluded,Personal,General Card Deposit,Completed
11/10/2025,Aizihaer Tuerxuntuoheti,58.21,Excluded,Money In / Refund,Excluded,Business/Main,Mobile Payment,Completed
11/10/2025,PayPal,23.48,Excluded,Money In / Refund,Excluded,Business/Main,Reversal of General Account Hold,Completed
11/10/2025,,180.0,Excluded,Money In / Refund,Excluded,Personal,General Card Deposit,Completed
11/10/2025,PayPal,13.68,Excluded,Money In / Refund,Excluded,Business/Main,Reversal of General Account Hold,Completed
11/10/2025,CASH APP*CASH APP CARD,-5.44,Included (True Spend),,Other/Uncategorized,Business/Main,General PayPal Debit Card Transaction,Completed
11/10/2025,PayPal,5.72,Excluded,Money In / Refund,Excluded,Business/Main,Reversal of General Account Hold,Completed
11/10/2025,WWW.PAYWITHFOUR.COM,-7.0,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,General Authorization,Pending
11/10/2025,1037 NOSTRAND DELI LLC,-5.72,Included (True Spend),,Grocery/Daily,Business/Main,General PayPal Debit Card Transaction,Completed
11/10/2025,CASH APP*CASH APP CARD,-5.44,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,General Authorization,Pending
11/10/2025,1037 NOSTRAND DELI LLC,-5.72,Included (True Spend),,Grocery/Daily,Business/Main,General Authorization,Completed
11/10/2025,PayPal,-5.44,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,Account Hold for Open Authorization,Pending
11/10/2025,HP *ALL- IN PLAN,-1.0,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,General Authorization,Pending
11/10/2025,PayPal,-1.0,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,Account Hold for Open Authorization,Pending
11/10/2025,PayPal Inc.,0.0,Included (True Spend),,Financial Services,Personal,Other,Completed
11/10/2025,PayPal,5.44,Excluded,Money In / Refund,Excluded,Business/Main,Reversal of General Account Hold,Completed
11/09/2025,US MOBILE,-10.57,Included (True Spend),,Phone/Utilities,Business/Main,General Authorization,Completed
11/09/2025,Aizihaer Tuerxuntuoheti,-23.0,Included (True Spend),,TRANSFER_TO_REVIEW,Business/Main,Mobile Payment,Completed
11/09/2025,US MOBILE,-10.57,Included (True Spend),,Phone/Utilities,Business/Main,General PayPal Debit Card Transaction,Completed
11/09/2025,PayPal,-20.0,Excluded,Non-Finalized (Status: Pending),Excluded,Personal,Account Hold for Open Authorization,Pending
11/09/2025,CASH APP*JAMES GARDELL,-20.0,Included (True Spend),,Other/Uncategorized,Personal,General PayPal Debit Card Transaction,Completed
11/09/2025,CASH APP*JAMES GARDELL,-20.0,Excluded,Non-Finalized (Status: Pending),Excluded,Personal,General Authorization,Pending
11/09/2025,Uber Eats,-21.82,Included (True Spend),,Transportation,Business/Main,PreApproved Payment Bill User Payment,Completed
11/09/2025,PayPal,-21.82,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,Account Hold for Open Authorization,Pending
11/09/2025,PayPal,-100.0,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,Account Hold for Open Authorization,Pending
11/09/2025,Uber Eats,-25.54,Included (True Spend),,Transportation,Business/Main,PreApproved Payment Bill User Payment,Completed
11/09/2025,PayPal,-25.54,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,Account Hold for Open Authorization,Pending
11/09/2025,VESTA  *AT&T PREPAID,-36.3,Included (True Spend),,Phone/Utilities,Business/Main,General Authorization,Completed
11/09/2025,VESTA  *AT&T PREPAID,-36.3,Included (True Spend),,Phone/Utilities,Business/Main,General PayPal Debit Card Transaction,Completed
11/09/2025,REB NYC,-50.0,Included (True Spend),,Financial Services,Personal,Mobile Payment,Completed
11/09/2025,CASH APP*AIZIHAER TUER,-100.0,Included (True Spend),,TRANSFER_TO_REVIEW,Business/Main,General PayPal Debit Card Transaction,Completed
11/09/2025,CASH APP*AIZIHAER TUER,-100.0,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,General Authorization,Pending
11/09/2025,REB NYC,-150.0,Included (True Spend),,Financial Services,Personal,Mobile Payment,Completed
11/09/2025,PAYPRO *NEKTONY,-8.66,Included (True Spend),,Other/Uncategorized,Personal,General Authorization,Completed
11/09/2025,PAYPRO *NEKTONY,-8.66,Included (True Spend),,Other/Uncategorized,Personal,General PayPal Debit Card Transaction,Completed
11/09/2025,,2.78,Excluded,Money In / Refund,Excluded,Business/Main,Debit Card Cash Back Bonus,Completed
11/09/2025,T & T Organic Market I,-7.8,Included (True Spend),,Grocery/Daily,Business/Main,General PayPal Debit Card Transaction,Completed
11/09/2025,REB NYC,23.0,Excluded,Money In / Refund,Excluded,Personal,Mobile Payment,Completed
11/09/2025,T & T Organic Market I,-7.8,Included (True Spend),,Grocery/Daily,Business/Main,General Authorization,Completed
11/09/2025,,150.0,Excluded,Money In / Refund,Excluded,Personal,General Card Deposit,Completed
11/09/2025,Aizihaer Tuerxuntuoheti,145.51,Excluded,Money In / Refund,Excluded,Business/Main,Mobile Payment,Completed
11/09/2025,PayPal,100.0,Excluded,Money In / Refund,Excluded,Business/Main,Reversal of General Account Hold,Completed
11/09/2025,,50.0,Excluded,Money In / Refund,Excluded,Personal,General Card Deposit,Completed
11/09/2025,PayPal,36.3,Excluded,Money In / Refund,Excluded,Business/Main,Reversal of General Account Hold,Completed
11/09/2025,PayPal,25.54,Excluded,Money In / Refund,Excluded,Business/Main,Reversal of General Account Hold,Completed
11/09/2025,Aizihaer Tuerxuntuoheti,48.5,Excluded,Money In / Refund,Excluded,Business/Main,Mobile Payment,Completed
11/09/2025,PayPal,21.82,Excluded,Money In / Refund,Excluded,Business/Main,Reversal of General Account Hold,Completed
11/09/2025,PayPal,20.0,Excluded,Money In / Refund,Excluded,Personal,Reversal of General Account Hold,Completed
11/09/2025,PayPal,10.57,Excluded,Money In / Refund,Excluded,Business/Main,Reversal of General Account Hold,Completed
11/09/2025,PayPal,8.66,Excluded,Money In / Refund,Excluded,Personal,Reversal of General Account Hold,Completed
11/09/2025,PayPal,7.8,Excluded,Money In / Refund,Excluded,Business/Main,Reversal of General Account Hold,Completed
11/09/2025,MTA*NYCT PAYGO RECOVER,2.9,Excluded,Non-Finalized (Status: Pending),Excluded,Personal,General PayPal Debit Card Transaction,Pending
11/09/2025,PayPal,-5.72,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,Account Hold for Open Authorization,Pending
11/09/2025,1037 NOSTRAND DELI LLC,-5.72,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,General Authorization,Pending
11/08/2025,Uber Eats,-17.8,Included (True Spend),,Transportation,Business/Main,PreApproved Payment Bill User Payment,Completed
11/08/2025,PayPal,-10.57,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,Account Hold for Open Authorization,Pending
11/08/2025,OXFORD PHARMACY,-11.39,Included (True Spend),,Retail/Shopping,Personal,General Authorization,Completed
11/08/2025,OXFORD PHARMACY,-11.39,Included (True Spend),,Retail/Shopping,Personal,General PayPal Debit Card Transaction,Completed
11/08/2025,Apple Services,-14.38,Included (True Spend),,Tech & Subs,Personal,PreApproved Payment Bill User Payment,Completed
11/08/2025,TST*XIAN FAMOUS FOODS,-15.41,Included (True Spend),,Dining/Restaurants,Personal,General Authorization,Completed
11/08/2025,TST*XIAN FAMOUS FOODS,-15.41,Included (True Spend),,Dining/Restaurants,Personal,General PayPal Debit Card Transaction,Completed
11/08/2025,Aizihaer Tuerxuntuoheti,-17.0,Included (True Spend),,TRANSFER_TO_REVIEW,Business/Main,Mobile Payment,Completed
11/08/2025,PAYPRO *NEKTONY,-8.66,Excluded,Non-Finalized (Status: Pending),Excluded,Personal,General Authorization,Pending
11/08/2025,WONDER,-21.67,Included (True Spend),,Dining/Restaurants,Business/Main,General PayPal Debit Card Transaction,Completed
11/08/2025,WONDER,-21.67,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,General Authorization,Pending
11/08/2025,PayPal,-21.67,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,Account Hold for Open Authorization,Pending
11/08/2025,Uber Eats,-24.44,Included (True Spend),,Transportation,Business/Main,PreApproved Payment Bill User Payment,Completed
11/08/2025,PayPal,-24.44,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,Account Hold for Open Authorization,Pending
11/08/2025,VESTA  *AT&T PREPAID,-36.3,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,General Authorization,Pending
11/08/2025,PayPal,-36.3,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,Account Hold for Open Authorization,Pending
11/08/2025,REB NYC,-100.0,Included (True Spend),,Financial Services,Personal,Mobile Payment,Completed
11/08/2025,US MOBILE,-10.57,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,General Authorization,Pending
11/08/2025,REB NYC,17.0,Excluded,Money In / Refund,Excluded,Personal,Mobile Payment,Completed
11/08/2025,PayPal,-8.66,Excluded,Non-Finalized (Status: Pending),Excluded,Personal,Account Hold for Open Authorization,Pending
11/08/2025,,9.68,Excluded,Money In / Refund,Excluded,Personal,General Card Deposit,Completed
11/08/2025,,100.0,Excluded,Money In / Refund,Excluded,Personal,General Card Deposit,Completed
11/08/2025,PayPal,24.44,Excluded,Money In / Refund,Excluded,Business/Main,Reversal of General Account Hold,Completed
11/08/2025,,21.76,Excluded,Non-Finalized (Status: Denied),Excluded,Personal,General Card Deposit,Denied
11/08/2025,PayPal,21.67,Excluded,Money In / Refund,Excluded,Business/Main,Reversal of General Account Hold,Completed
11/08/2025,PayPal,-7.8,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,Account Hold for Open Authorization,Pending
11/08/2025,PayPal,15.41,Excluded,Money In / Refund,Excluded,Personal,Reversal of General Account Hold,Completed
11/08/2025,PayPal,11.39,Excluded,Money In / Refund,Excluded,Personal,Reversal of General Account Hold,Completed
11/08/2025,Aizihaer Tuerxuntuoheti,97.01,Excluded,Money In / Refund,Excluded,Business/Main,Mobile Payment,Completed
11/08/2025,PayPal,2.9,Excluded,Money In / Refund,Excluded,Personal,Reversal of General Account Hold,Completed
11/08/2025,,-0.14,Excluded,Non-Finalized (Status: Denied),Excluded,Business/Main,Account Hold for Open Authorization,Denied
11/08/2025,MTA*NYCT PAYGO,-2.9,Included (True Spend),,Transportation,Personal,General Authorization,Completed
11/08/2025,MTA*NYCT PAYGO,-2.9,Included (True Spend),,Transportation,Personal,General PayPal Debit Card Transaction,Completed
11/08/2025,Apple Services,-5.31,Included (True Spend),,Tech & Subs,Personal,PreApproved Payment Bill User Payment,Completed
11/08/2025,T & T Organic Market I,-7.8,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,General Authorization,Pending
11/08/2025,PayPal Inc.,0.0,Included (True Spend),,Financial Services,Personal,Other,Completed
11/07/2025,TST*JERUSALEM FALAFEL,-14.15,Included (True Spend),,Dining/Restaurants,Personal,General PayPal Debit Card Transaction,Completed
11/07/2025,STERLING DELI AND GROC,-8.84,Included (True Spend),,Grocery/Daily,Personal,General PayPal Debit Card Transaction,Completed
11/07/2025,PayPal,-11.39,Excluded,Non-Finalized (Status: Pending),Excluded,Personal,Account Hold for Open Authorization,Pending
11/07/2025,OXFORD PHARMACY,-11.39,Excluded,Non-Finalized (Status: Pending),Excluded,Personal,General Authorization,Pending
11/07/2025,1037 NOSTRAND DELI LLC,-13.52,Included (True Spend),,Grocery/Daily,Personal,General Authorization,Completed
11/07/2025,1037 NOSTRAND DELI LLC,-13.52,Included (True Spend),,Grocery/Daily,Personal,General PayPal Debit Card Transaction,Completed
11/07/2025,TST*JERUSALEM FALAFEL,-14.15,Included (True Spend),,Dining/Restaurants,Personal,General Authorization,Completed
11/07/2025,T & T Organic Market I,-18.72,Included (True Spend),,Grocery/Daily,Personal,General PayPal Debit Card Transaction,Completed
11/07/2025,TST*XIAN FAMOUS FOODS,-15.41,Excluded,Non-Finalized (Status: Pending),Excluded,Personal,General Authorization,Pending
11/07/2025,PayPal,-15.41,Excluded,Non-Finalized (Status: Pending),Excluded,Personal,Account Hold for Open Authorization,Pending
11/07/2025,T & T Organic Market I,-18.72,Included (True Spend),,Grocery/Daily,Personal,General Authorization,Completed
11/07/2025,HERCULES CORP KIOSK,-20.0,Included (True Spend),,Other/Uncategorized,Personal,General Authorization,Completed
11/07/2025,HERCULES CORP KIOSK,-20.0,Included (True Spend),,Other/Uncategorized,Personal,General PayPal Debit Card Transaction,Completed
11/07/2025,REB NYC,-40.0,Included (True Spend),,Financial Services,Personal,Mobile Payment,Completed
11/07/2025,MTA*NYCT PAYGO,-2.9,Excluded,Non-Finalized (Status: Pending),Excluded,Personal,General Authorization,Pending
11/07/2025,STERLING DELI AND GROC,-8.84,Included (True Spend),,Grocery/Daily,Personal,General Authorization,Completed
11/07/2025,TST*JERUSALEM FALAFEL,-1.64,Included (True Spend),,Dining/Restaurants,Personal,General PayPal Debit Card Transaction,Completed
11/07/2025,PayPal,-2.9,Excluded,Non-Finalized (Status: Pending),Excluded,Personal,Account Hold for Open Authorization,Pending
11/07/2025,PayPal,13.52,Excluded,Money In / Refund,Excluded,Personal,Reversal of General Account Hold,Completed
11/07/2025,,40.0,Excluded,Money In / Refund,Excluded,Personal,General Card Deposit,Completed
11/07/2025,Aizihaer Tuerxuntuoheti,38.8,Excluded,Money In / Refund,Excluded,Business/Main,Mobile Payment,Completed
11/07/2025,1037 NOSTRAND DELI LLC,-2.08,Included (True Spend),,Grocery/Daily,Personal,General PayPal Debit Card Transaction,Completed
11/07/2025,PayPal,20.0,Excluded,Money In / Refund,Excluded,Personal,Reversal of General Account Hold,Completed
11/07/2025,PayPal,18.72,Excluded,Money In / Refund,Excluded,Personal,Reversal of General Account Hold,Completed
11/07/2025,PayPal,14.15,Excluded,Money In / Refund,Excluded,Personal,Reversal of General Account Hold,Completed
11/07/2025,UBER   *EATS,23.45,Excluded,Money In / Refund,Excluded,Personal,General PayPal Debit Card Transaction,Completed
11/07/2025,PayPal,8.84,Excluded,Money In / Refund,Excluded,Personal,Reversal of General Account Hold,Completed
11/07/2025,PayPal,2.08,Excluded,Money In / Refund,Excluded,Personal,Reversal of General Account Hold,Completed
11/07/2025,PayPal,1.64,Excluded,Money In / Refund,Excluded,Personal,Reversal of General Account Hold,Completed
11/07/2025,TST*JERUSALEM FALAFEL,-1.64,Included (True Spend),,Dining/Restaurants,Personal,General Authorization,Completed
11/07/2025,1037 NOSTRAND DELI LLC,-2.08,Included (True Spend),,Grocery/Daily,Personal,General Authorization,Completed
11/07/2025,MTA*NYCT PAYGO RECOVER,2.9,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,General PayPal Debit Card Transaction,Pending
11/06/2025,HERCULES CORP KIOSK,-20.0,Excluded,Non-Finalized (Status: Pending),Excluded,Personal,General Authorization,Pending
11/06/2025,PayPal,-14.15,Excluded,Non-Finalized (Status: Pending),Excluded,Personal,Account Hold for Open Authorization,Pending
11/06/2025,T & T Organic Market I,-18.72,Excluded,Non-Finalized (Status: Pending),Excluded,Personal,General Authorization,Pending
11/06/2025,PayPal,-18.72,Excluded,Non-Finalized (Status: Pending),Excluded,Personal,Account Hold for Open Authorization,Pending
11/06/2025,PayPal,-20.0,Excluded,Non-Finalized (Status: Pending),Excluded,Personal,Account Hold for Open Authorization,Pending
11/06/2025,CASH APP*AIZIHAER TUER,-50.0,Excluded,Non-Finalized (Status: Pending),Excluded,Personal,General Authorization,Pending
11/06/2025,PayPal,-50.0,Excluded,Non-Finalized (Status: Pending),Excluded,Personal,Account Hold for Open Authorization,Pending
11/06/2025,CASH APP*AIZIHAER TUER,-50.0,Included (True Spend),,TRANSFER_TO_REVIEW,Personal,General PayPal Debit Card Transaction,Completed
11/06/2025,Aizihaer Tuerxuntuoheti,-97.0,Included (True Spend),,TRANSFER_TO_REVIEW,Business/Main,Mobile Payment,Completed
11/06/2025,REB NYC,-100.0,Included (True Spend),,Financial Services,Personal,Mobile Payment,Completed
11/06/2025,PayPal,-8.84,Excluded,Non-Finalized (Status: Pending),Excluded,Personal,Account Hold for Open Authorization,Pending
11/06/2025,TST*JERUSALEM FALAFEL,-14.15,Excluded,Non-Finalized (Status: Pending),Excluded,Personal,General Authorization,Pending
11/06/2025,Aizihaer Tuerxuntuoheti,-1.71,Included (True Spend),,TRANSFER_TO_REVIEW,Business/Main,Mobile Payment,Completed
11/06/2025,STERLING DELI AND GROC,-8.84,Excluded,Non-Finalized (Status: Pending),Excluded,Personal,General Authorization,Pending
11/06/2025,PayPal,-2.08,Excluded,Non-Finalized (Status: Pending),Excluded,Personal,Account Hold for Open Authorization,Pending
11/06/2025,1037 NOSTRAND DELI LLC,-2.08,Excluded,Non-Finalized (Status: Pending),Excluded,Personal,General Authorization,Pending
11/06/2025,PayPal,-1.64,Excluded,Non-Finalized (Status: Pending),Excluded,Personal,Account Hold for Open Authorization,Pending
11/06/2025,TST*JERUSALEM FALAFEL,-1.64,Excluded,Non-Finalized (Status: Pending),Excluded,Personal,General Authorization,Pending
11/06/2025,REB NYC,1.71,Excluded,Money In / Refund,Excluded,Personal,Mobile Payment,Completed
11/06/2025,CASH APP*AIZIHAER TUER,24.06,Excluded,Money In / Refund,Excluded,Personal,General PayPal Debit Card Transaction,Completed
11/06/2025,PayPal,50.0,Excluded,Money In / Refund,Excluded,Personal,Reversal of General Account Hold,Completed
11/06/2025,REB NYC,97.0,Excluded,Money In / Refund,Excluded,Personal,Mobile Payment,Completed
11/06/2025,Aizihaer Tuerxuntuoheti,97.01,Excluded,Money In / Refund,Excluded,Business/Main,Mobile Payment,Completed
11/06/2025,,100.0,Excluded,Money In / Refund,Excluded,Personal,General Card Deposit,Completed
11/05/2025,MTA*NYCT PAYGO RECOVER,-5.8,Included (True Spend),,Transportation,Business/Main,General PayPal Debit Card Transaction,Completed
11/05/2025,UBER   * EATS PENDING,-23.25,Included (True Spend),,Transportation,Business/Main,General PayPal Debit Card Transaction,Completed
11/05/2025,UBER   * EATS PENDING,-23.25,Included (True Spend),,Transportation,Business/Main,General Authorization,Completed
11/05/2025,Aizihaer Tuerxuntuoheti,-17.0,Included (True Spend),,TRANSFER_TO_REVIEW,Business/Main,Mobile Payment,Completed
11/05/2025,PayPal,-13.52,Excluded,Non-Finalized (Status: Pending),Excluded,Personal,Account Hold for Open Authorization,Pending
11/05/2025,1037 NOSTRAND DELI LLC,-13.52,Excluded,Non-Finalized (Status: Pending),Excluded,Personal,General Authorization,Pending
11/05/2025,MTA*NYCT PAYGO RECOVER,-5.8,Included (True Spend),,Transportation,Business/Main,General Authorization,Completed
11/05/2025,PayPal,5.8,Excluded,Money In / Refund,Excluded,Business/Main,Reversal of General Account Hold,Completed
11/05/2025,REB NYC,17.0,Excluded,Money In / Refund,Excluded,Personal,Mobile Payment,Completed
11/05/2025,PayPal,23.25,Excluded,Money In / Refund,Excluded,Business/Main,Reversal of General Account Hold,Completed
11/04/2025,CASH APP*AIZIHAER TUER,-9.0,Included (True Spend),,TRANSFER_TO_REVIEW,Business/Main,General PayPal Debit Card Transaction,Completed
11/04/2025,LIVE GOOD PHARMACY INC,-18.67,Included (True Spend),,Retail/Shopping,Business/Main,General PayPal Debit Card Transaction,Completed
11/04/2025,LIVE GOOD PHARMACY INC,-18.67,Included (True Spend),,Retail/Shopping,Business/Main,General Authorization,Completed
11/04/2025,TST*XIAN FAMOUS FOODS,-18.62,Included (True Spend),,Dining/Restaurants,Business/Main,General PayPal Debit Card Transaction,Completed
11/04/2025,TST*XIAN FAMOUS FOODS,-18.62,Included (True Spend),,Dining/Restaurants,Business/Main,General Authorization,Completed
11/04/2025,REB NYC,-10.0,Included (True Spend),,Financial Services,Personal,Mobile Payment,Completed
11/04/2025,CASH APP*AIZIHAER TUER,-9.0,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,General Authorization,Pending
11/04/2025,TARGET.COM,-5.0,Included (True Spend),,Grocery/Daily,Business/Main,General PayPal Debit Card Transaction,Completed
11/04/2025,PayPal,-9.0,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,Account Hold for Open Authorization,Pending
11/04/2025,T & T Organic Market I,-19.24,Included (True Spend),,Grocery/Daily,Personal,General PayPal Debit Card Transaction,Completed
11/04/2025,TST*MAMA PHO - GRAND S,-8.97,Included (True Spend),,Dining/Restaurants,Personal,General PayPal Debit Card Transaction,Completed
11/04/2025,TST*MAMA PHO - GRAND S,-8.97,Included (True Spend),,Dining/Restaurants,Personal,General Authorization,Completed
11/04/2025,TARGET.COM,-8.88,Included (True Spend),,Grocery/Daily,Business/Main,General Authorization,Completed
11/04/2025,MTA*NYCT PAYGO RECOVER,-5.8,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,General Authorization,Pending
11/04/2025,PayPal,-5.8,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,Account Hold for Open Authorization,Pending
11/04/2025,T & T Organic Market I,-19.24,Included (True Spend),,Grocery/Daily,Personal,General Authorization,Completed
11/04/2025,CURB MOBILITY,-48.45,Included (True Spend),,Transportation,Business/Main,General PayPal Debit Card Transaction,Completed
11/04/2025,"Uber Technologies, Inc",-19.37,Included (True Spend),,Transportation,Business/Main,PreApproved Payment Bill User Payment,Completed
11/04/2025,PayPal,-19.37,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,Account Hold for Open Authorization,Pending
11/04/2025,UBER   * EATS PENDING,-23.25,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,General Authorization,Pending
11/04/2025,PayPal,-23.25,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,Account Hold for Open Authorization,Pending
11/04/2025,UBER   * EATS PENDING,-41.27,Included (True Spend),,Transportation,Personal,General Authorization,Completed
11/04/2025,UBER   * EATS PENDING,-41.27,Included (True Spend),,Transportation,Personal,General PayPal Debit Card Transaction,Completed
11/04/2025,1037 NOSTRAND DELI LLC,-41.6,Included (True Spend),,Grocery/Daily,Personal,General Authorization,Completed
11/04/2025,1037 NOSTRAND DELI LLC,-41.6,Included (True Spend),,Grocery/Daily,Personal,General PayPal Debit Card Transaction,Completed
11/04/2025,CURB MOBILITY,-48.45,Included (True Spend),,Transportation,Business/Main,General Authorization,Completed
11/04/2025,TARGET.COM,-90.86,Included (True Spend),,Grocery/Daily,Business/Main,General Authorization,Completed
11/04/2025,TARGET.COM,-90.86,Included (True Spend),,Grocery/Daily,Business/Main,General PayPal Debit Card Transaction,Completed
11/04/2025,PayPal,-95.0,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,Account Hold for Open Authorization,Pending
11/04/2025,CASH APP*AIZIHAER TUER,-95.0,Included (True Spend),,TRANSFER_TO_REVIEW,Business/Main,General PayPal Debit Card Transaction,Completed
11/04/2025,CASH APP*AIZIHAER TUER,-95.0,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,General Authorization,Pending
11/04/2025,CITIBIK*TEMP HOLD,-4.99,Included (True Spend),,Transportation,Personal,General Authorization,Completed
11/04/2025,CITIBIK*TEMP HOLD,-4.99,Included (True Spend),,Transportation,Personal,General PayPal Debit Card Transaction,Completed
11/04/2025,T & T Organic Market I,-4.16,Included (True Spend),,Grocery/Daily,Business/Main,General PayPal Debit Card Transaction,Completed
11/04/2025,PayPal,18.62,Excluded,Money In / Refund,Excluded,Business/Main,Reversal of General Account Hold,Completed
11/04/2025,PayPal,4.99,Excluded,Money In / Refund,Excluded,Personal,Reversal of General Account Hold,Completed
11/04/2025,PayPal,95.0,Excluded,Money In / Refund,Excluded,Business/Main,Reversal of General Account Hold,Completed
11/04/2025,PayPal,90.86,Excluded,Money In / Refund,Excluded,Business/Main,Reversal of General Account Hold,Completed
11/04/2025,PayPal,48.45,Excluded,Money In / Refund,Excluded,Business/Main,Reversal of General Account Hold,Completed
11/04/2025,PayPal,41.6,Excluded,Money In / Refund,Excluded,Personal,Reversal of General Account Hold,Completed
11/04/2025,PayPal,41.27,Excluded,Money In / Refund,Excluded,Personal,Reversal of General Account Hold,Completed
11/04/2025,PayPal,19.37,Excluded,Money In / Refund,Excluded,Business/Main,Reversal of General Account Hold,Completed
11/04/2025,PayPal,19.24,Excluded,Money In / Refund,Excluded,Personal,Reversal of General Account Hold,Completed
11/04/2025,PayPal,18.67,Excluded,Money In / Refund,Excluded,Business/Main,Reversal of General Account Hold,Completed
11/04/2025,TARGET.COM,17.81,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,General PayPal Debit Card Transaction,Pending
11/04/2025,,10.0,Excluded,Money In / Refund,Excluded,Personal,General Card Deposit,Completed
11/04/2025,Aizihaer Tuerxuntuoheti,9.7,Excluded,Money In / Refund,Excluded,Business/Main,Mobile Payment,Completed
11/04/2025,T & T Organic Market I,-4.16,Included (True Spend),,Grocery/Daily,Business/Main,General Authorization,Completed
11/04/2025,PayPal,8.97,Excluded,Money In / Refund,Excluded,Personal,Reversal of General Account Hold,Completed
11/04/2025,PayPal,8.88,Excluded,Money In / Refund,Excluded,Business/Main,Reversal of General Account Hold,Completed
11/04/2025,PayPal,9.0,Excluded,Money In / Refund,Excluded,Business/Main,Reversal of General Account Hold,Completed
11/04/2025,PayPal,4.16,Excluded,Money In / Refund,Excluded,Business/Main,Reversal of General Account Hold,Completed
